 441 
1, 433913.883435433, 2787930.40155019, -69
2, 433904.484662754, 2787989.74306542, -69
3, 434020.911046094, 2787501.47248374, 0
4, 434020.911023187, 2787501.47243227, -114
5, 433953.110093193, 2787855.75367734, 0
6, 433953.110070285, 2787855.75362586, -114
7, 433785.111500946, 2788326.31554723, 0
8, 433785.111478039, 2788326.31549576, -114
9, 434033.713369104, 2787503.49574339, -69
10, 433424.578483361, 2787913.71557986, -69
11, 433433.97725604, 2787854.37406462, -69
12, 433726.43405802, 2787713.95799275, -77.3
13, 433658.390541706, 2787703.1809585, -75.2
14, 433545.669310913, 2787685.32766945, -71.8
15, 433462.829659647, 2787672.20715765, -69.3
16, 433591.51195455, 2788125.43573945, -74.8
17, 433508.600734939, 2788112.57913166, -72.4
18, 433330.653266148, 2788085.27066682, -67.1
19, 432639.917450198, 2787566.43078848, -85
20, 432866.084401822, 2787602.25211453, -76
21, 432921.269036731, 2787610.99250205, -73.8
22, 433033.998984637, 2787628.84717176, -69.3
23, 433072.387865424, 2787634.92737315, -67.7
24, 432761.045497343, 2787971.94493192, -74.5
25, 432806.415369681, 2787978.98755659, -73
26, 432919.227201409, 2787996.02089603, -69.6
27, 432974.458858842, 2788004.76873118, -67.9
28, 433424.587792562, 2788123.00274802, -41
29, 433523.012002067, 2787659.24371564, -41
30, 433529.762210198, 2788086.90384723, -31
31, 433590.349526523, 2788086.53770765, -25.8
32, 433667.881108282, 2788078.98100328, -19
33, 433729.247080186, 2788067.10934109, -13.6
34, 433788.663207067, 2788050.45588047, -8.2
35, 433832.359147967, 2788034.7427726, -4.2
36, 433860.739448887, 2788023.80378787, -1.54
37, 433889.367987199, 2788012.7691218, 1.12
38, 433913.987546437, 2788003.27968815, 3.41
39, 433952.477821626, 2787988.44388588, 7
40, 433934.828040083, 2787995.24686839, 5.36
41, 433586.502133328, 2787719.10651341, -31
42, 433645.829379556, 2787736.25170153, -25.8
43, 433717.703738345, 2787764.41329725, -19
44, 433772.800655741, 2787792.12288746, -13.6
45, 433824.582222595, 2787824.03983773, -8.2
46, 433861.486868349, 2787850.83758392, -4.2
47, 433885.097921282, 2787870.01044589, -1.54
48, 433907.863811369, 2787890.18442955, 1.12
49, 433929.763739092, 2787911.3678332, 3.41
50, 433955.730611294, 2787938.94516229, 7
51, 433945.513460387, 2787927.78177976, 5.36
52, 433972.77915724, 2787849.95929985, -77
53, 433732.609973322, 2788226.00568722, -85
54, 433753.509824193, 2788243.08744784, -85
55, 432417.766091219, 2788017.73626405, -77
56, 432408.364566318, 2788077.09515613, -77
57, 432398.979603179, 2788136.34948136, -77
58, 432389.578068592, 2788195.7084346, -77
59, 432624.244757049, 2787665.38427859, -77
60, 432614.85979391, 2787724.63860382, -77
61, 432605.461021231, 2787783.98011906, -77
62, 432596.062248552, 2787843.3216343, -77
63, 432674.356814494, 2787348.98919999, -77
64, 432664.958041815, 2787408.33071523, -77
65, 432683.750063357, 2787289.68256075, -77
66, 432655.56755486, 2787467.61991646, -77
67, 432736.168177522, 2788129.01414762, -77
68, 432717.381679796, 2788247.6274261, -77
69, 432841.026745534, 2787760.45992988, -77
70, 432831.627972855, 2787819.80144511, -77
71, 432955.708401028, 2787393.55091356, -77
72, 432965.101649891, 2787334.24427432, -77
73, 434009.491986599, 2787499.65945328, -77
74, 434000.099245333, 2787558.96617291, -69
75, 433990.700472654, 2787618.30768815, -69
76, 434009.491986599, 2787499.65945328, -69
77, 433585.718227315, 2787432.46878224, -69
78, 433585.707182096, 2787432.53853302, -69
79, 433116.220483926, 2787358.17914509, -69
80, 432710.483035568, 2787293.91664683, -69
81, 432710.483030855, 2787293.91664566, -69
82, 432683.7500687, 2787289.68256042, -69
83, 433576.313930821, 2787491.84517347, -69
84, 433576.31392789, 2787491.84517259, -69
85, 433106.82722972, 2787417.48578466, -69
86, 432701.089781362, 2787353.2232864, -69
87, 432701.089776649, 2787353.22328524, -69
88, 432674.356814494, 2787348.98919999, -69
89, 433566.915158142, 2787551.18668871, -69
90, 433566.915155211, 2787551.18668783, -69
91, 433097.428457041, 2787476.8272999, -69
92, 432691.691008683, 2787412.56480164, -69
93, 432664.958041815, 2787408.33071523, -69
94, 433981.309478102, 2787677.59680899, -69
95, 433557.535718818, 2787610.40613795, -69
96, 432682.300521728, 2787471.85400288, -69
97, 433972.77915724, 2787849.95929985, -85
98, 433443.359459531, 2787795.13711566, -69
99, 433018.323531841, 2787727.81803813, -69
100, 433443.359461705, 2787795.137116, -69
101, 433018.323533925, 2787727.81803904, -69
102, 432650.97496164, 2787669.63574101, -69
103, 432624.241999485, 2787665.40165576, -69
104, 433433.974496392, 2787854.39144089, -69
105, 433940.616397588, 2787934.63563544, -69
106, 433008.938568702, 2787787.07236337, -69
107, 433433.974498565, 2787854.39144124, -69
108, 433008.938570786, 2787787.07236428, -69
109, 432641.589998501, 2787728.89006625, -69
110, 432614.857036346, 2787724.655981, -69
111, 433424.578481277, 2787913.71557895, -69
112, 433931.220382473, 2787993.95977349, -69
113, 432999.539801365, 2787846.41387827, -69
114, 433424.575731229, 2787913.73295614, -69
115, 432999.539803449, 2787846.41387918, -69
116, 432632.191231165, 2787788.23158115, -69
117, 432605.45826901, 2787783.9974959, -69
118, 433415.179708598, 2787973.05709419, -69
119, 433921.821609794, 2788053.30128873, -69
120, 432990.143780908, 2787905.73801666, -69
121, 433415.179710771, 2787973.05709453, -69
122, 433318.745125868, 2788160.45566919, -69
123, 433713.807757839, 2788223.02744271, -69
124, 433318.747965943, 2788160.43777402, -69
