 160 
1, 422264.198083767, 1165500.83818248, -132
2, 421941.551250321, 1165733.04990231, -172
3, 422264.422330593, 1165607.24870685, -124.99999564435
4, 422264.198083723, 1165500.83818239, -125
5, 421941.551250277, 1165733.04990222, -165
6, 421877.778883829, 1165647.86597613, -165
7, 422322.492467103, 1165675.35971353, -118
8, 421851.258319382, 1165462.73122606, -158
9, 422267.524664583, 1165510.79728999, 2.00000321636356
10, 422267.524664583, 1165510.79728999, -118
11, 422267.524664583, 1165510.79728999, -125
12, 422267.524664583, 1165510.79728999, -132
13, 422267.524665554, 1165510.79729184, -151.999996783636
14, 421938.224667589, 1165723.09079106, 3.50000369066977
15, 421938.224667589, 1165723.09079106, -158
16, 421938.224667589, 1165723.09079106, -165
17, 422068.466052728, 1165558.85773627, -150.999997461341
18, 422068.466051754, 1165558.85773441, 3.50000253865918
19, 422097.026318218, 1165538.24784953, -130.999997275874
20, 422095.922264627, 1165579.59794869, -98
21, 422115.449308244, 1165560.11219556, -98
22, 422068.466052394, 1165558.85773563, -97.9999974613408
23, 422229.09778537, 1165501.49173313, -117.999997137738
24, 422224.503350623, 1165487.73939733, -117.99999733194
25, 422218.810760491, 1165470.69693994, -116.330220491439
26, 422216.932916311, 1165466.06184109, -115.844802791436
27, 422214.789380151, 1165462.16671597, -115.413320391722
28, 422211.34421075, 1165457.45970635, -114.846999741211
29, 422208.483032044, 1165454.42844856, -114.442484989395
30, 422204.878271591, 1165451.37607188, -113.984034935011
31, 422200.456976617, 1165448.49268885, -113.471649576254
32, 422195.693678479, 1165446.2183235, -112.95926421233
33, 422190.402967225, 1165444.5228821, -112.419911191024
34, 422185.757274051, 1165443.66916305, -111.961461116793
35, 422180.487197797, 1165443.37244234, -111.449075732303
36, 422175.774783991, 1165443.69564103, -110.990625644353
37, 422170.864034466, 1165444.6416744, -110.505207896418
38, 422168.198605094, 1165445.43016861, -110.235531366232
39, 422125.451902139, 1165459.70859411, -105.863903800285
40, 422121.830425197, 1165461.11724772, -105.486833354622
41, 422117.404809503, 1165463.43270233, -105.002028488399
42, 422113.521183081, 1165466.11085611, -104.544157218084
43, 422109.782674384, 1165469.42291815, -104.05935233555
44, 422105.982550413, 1165473.838626, -103.493746629101
45, 422103.403742827, 1165477.78891881, -103.035875335274
46, 422101.199486962, 1165482.27082223, -102.551070429015
47, 422099.570972084, 1165486.99248947, -102.066265516234
48, 422098.543590206, 1165491.88029968, -101.581460597683
49, 422098.138844499, 1165496.58043189, -101.123589281144
50, 422097.279353345, 1165528.77093136, -97.9999976411497
51, 422095.922264627, 1165579.59794869, -130.999997039028
52, 422155.346982387, 1165508.22419348, -91.0076654604934
53, 422134.127189379, 1165515.31215563, -93.7805094155236
54, 422118.325630754, 1165531.13336751, -96.5085122575429
55, 422102.073109912, 1165536.56209988, -97.9999975173136
56, 422096.456077364, 1165559.60507386, -98
57, 422097.026318218, 1165538.24784953, -98
58, 421917.697382247, 1165767.37544629, -157.999995907303
59, 421920.087594956, 1165772.0066907, -157.54293636884
60, 421923.054851719, 1165775.14414877, -157.164680201715
61, 421928.052198588, 1165777.97957495, -156.660338655149
62, 421932.267496861, 1165778.91740026, -156.28208250657
63, 421938.344439215, 1165778.37588369, -155.746219651189
64, 422017.079549037, 1165752.1027052, -148.278297278292
65, 422021.272409823, 1165750.02291457, -147.855724580727
66, 422027.0664889, 1165743.23625493, -147.043084825512
67, 422024.96783794, 1165746.59898247, -147.400646310439
68, 422095.655358265, 1165589.59438611, -131.899996920601
69, 422027.217203949, 1165742.90803826, -147.010579236496
70, 422115.449308244, 1165560.11219556, -131
71, 422040.983149943, 1165539.1171671, -130.999997871811
72, 422040.47602784, 1165558.11039819, -130.999997646808
73, 422068.466052602, 1165558.85773603, -130.999997461341
74, 422096.456077364, 1165559.60507386, -130.999997275874
75, 422200.649482721, 1165522.06494166, -132
76, 422322.492467191, 1165675.3597137, -132
77, 422262.745673763, 1165707.96831188, -132
78, 422290.718166625, 1165685.97309331, -132
79, 422321.22519848, 1165671.56576885, -132
80, 422257.676598131, 1165692.79253011, -132
81, 422286.599541709, 1165673.64276773, -131.9999947068
82, 422289.450898261, 1165682.17914949, -132
83, 421739.336902708, 1165500.11566777, -172
84, 421787.709718427, 1165483.95798541, -172
85, 421851.25831947, 1165462.73122623, -172
86, 421708.389038556, 1165568.44011218, -172
87, 421781.257017846, 1165786.59202621, -172
88, 421724.95774784, 1165618.04345893, -172
89, 421740.937415972, 1165504.90727906, -172
90, 421829.629833567, 1165770.43434385, -172
91, 421773.010353925, 1165600.92713402, -172
92, 421852.525590223, 1165466.52517719, -172
93, 421788.976988297, 1165487.75193366, -172
94, 421878.002649279, 1165754.27666149, -172
95, 421820.752145293, 1165477.14108339, -172
96, 421884.190893485, 1165561.32465678, -172
97, 421821.062960004, 1165583.81080911, -172
98, 421855.601191328, 1165581.47207625, -172
99, 421852.626927654, 1165572.56773262, -171.999998657568
100, 422322.492467147, 1165675.35971362, -125
101, 422262.745673719, 1165707.96831179, -125
102, 422200.649482677, 1165522.06494158, -125
103, 422293.345275435, 1165588.09894801, -125
104, 422229.796675048, 1165609.32570916, -125
105, 422261.570974882, 1165598.71232761, -125
106, 421708.389038512, 1165568.4401121, -165
107, 421781.257017802, 1165786.59202613, -165
108, 421752.109826086, 1165699.33126052, -165
109, 421739.336902664, 1165500.11566769, -165
110, 421829.629833523, 1165770.43434377, -165
111, 421800.482641807, 1165683.17357815, -165
112, 421787.709718383, 1165483.95798532, -165
113, 421878.002649234, 1165754.27666141, -165
