		easting		northing	elev	log Q	log(Q)	(Q)
		422184.6816	1165255.861	-149 	2.000 	2.000 	100.000 
		422183.7834	1165254.788	-151 	2.000 	2.000 	100.000 
		422182.821	1165253.638	-154 	3.000 	3.000 	1000.000 
		422181.8585	1165252.489	-157 	2.176 	2.176 	150.000 
		422180.8961	1165251.339	-160 	1.824 	1.824 	66.700 
		422179.9337	1165250.189	-163 	1.699 	1.699 	50.000 
		422178.9713	1165249.04	-166 	2.000 	2.000 	100.000 
		422178.0089	1165247.89	-169 	2.000 	2.000 	100.000 
		422177.0465	1165246.741	-172 	2.000 	2.000 	100.000 
		422176.084	1165245.591	-175 	1.377 	1.377 	23.800 
		422175.1216	1165244.441	-178 	1.519 	1.519 	33.000 
		422174.3838	1165243.56	-181 	2.000 	2.000 	100.000 
		422173.4214	1165242.41	-184 	2.176 	2.176 	150.000 
		422172.7477	1165241.605	-186 	1.875 	1.875 	75.000 
		422172.0098	1165240.724	-188 	3.000 	3.000 	1000.000 
		422171.0474	1165239.574	-191 	3.000 	3.000 	1000.000 
		422170.085	1165238.425	-194 	3.000 	3.000 	1000.000 
		422169.1226	1165237.275	-197 	2.301 	2.301 	200.000 
		422168.1602	1165236.125	-200 	3.000 	3.000 	1000.000 
		422167.294	1165235.091	-203 	3.000 	3.000 	1000.000 
		422166.3316	1165233.941	-206 	3.000 	3.000 	1000.000 
		422165.3691	1165232.791	-209 	3.000 	3.000 	1000.000 
		422164.4067	1165231.642	-212 	3.000 	3.000 	1000.000 
		422163.4443	1165230.492	-215 	2.176 	2.176 	150.000 
		422162.4819	1165229.343	-218 	3.000 	3.000 	1000.000 
		422161.5195	1165228.193	-221 	2.477 	2.477 	300.000 
		422160.5571	1165227.043	-224 	3.000 	3.000 	1000.000 
		422159.5946	1165225.894	-227 	3.000 	3.000 	1000.000 
		422158.6322	1165224.744	-230 	2.000 	2.000 	100.000 
IBH-03		422098.506	1165511.467	-71 	(0.222)	(0.222)	0.600 
		422096.5069	1165511.464	-75 	(0.699)	(0.699)	0.200 
		422095.4574	1165511.462	-77 	1.201 	1.201 	15.900 
		422093.4583	1165511.459	-81 	2.362 	2.362 	230.000 
		422091.959	1165511.457	-84 	1.875 	1.875 	75.000 
		422090.4597	1165511.454	-87 	1.875 	1.875 	75.000 
		422088.9604	1165511.452	-90 	2.176 	2.176 	150.000 
		422087.4611	1165511.449	-93 	2.176 	2.176 	150.000 
		422085.9618	1165511.447	-96 	2.477 	2.477 	300.000 
		422084.4625	1165511.445	-99 	1.548 	1.548 	35.300 
		422082.4134	1165511.441	-103 	1.875 	1.875 	75.000 
		422080.9141	1165511.439	-106 	1.522 	1.522 	33.300 
		422079.7147	1165511.437	-109 	3.000 	3.000 	1000.000 
		422078.2154	1165511.435	-112 	3.000 	3.000 	1000.000 
		422076.7161	1165511.432	-115 	3.000 	3.000 	1000.000 
		422075.2167	1165511.43	-118 	1.551 	1.551 	35.600 
		422074.0173	1165511.428	-120 	2.477 	2.477 	300.000 
		422071.9183	1165511.425	-124 	2.301 	2.301 	200.000 
		422070.419	1165511.422	-127 	1.699 	1.699 	50.000 
		422068.9196	1165511.42	-130 	1.574 	1.574 	37.500 
		422067.4203	1165511.417	-133 	2.176 	2.176 	150.000 
		422065.921	1165511.415	-136 	1.875 	1.875 	75.000 
		422063.922	1165511.412	-140 	1.875 	1.875 	75.000 
		422062.9224	1165511.41	-142 	1.875 	1.875 	75.000 
		422061.4231	1165511.408	-145 	1.574 	1.574 	37.500 
		422059.9238	1165511.406	-148 	1.574 	1.574 	37.500 
		422058.4245	1165511.403	-151 	2.477 	2.477 	300.000 
		422056.9252	1165511.401	-154 	2.477 	2.477 	300.000 
		422055.4259	1165511.398	-157 	1.699 	1.699 	50.000 
		422053.9266	1165511.396	-160 	1.875 	1.875 	75.000 
		422052.4772	1165511.394	-163 	1.875 	1.875 	75.000 
		422050.9779	1165511.391	-166 	1.699 	1.699 	50.000 
		422049.4786	1165511.389	-169 	2.000 	2.000 	100.000 
		422047.9793	1165511.387	-172 	3.000 	3.000 	1000.000 
		422046.48	1165511.384	-175 	3.000 	3.000 	1000.000 
		422044.9807	1165511.382	-178 	3.000 	3.000 	1000.000 
		422043.4814	1165511.379	-181 	2.477 	2.477 	300.000 
		422042.082	1165511.377	-184 	1.574 	1.574 	37.500 
